uid,vad_threshold,vtc_threshold,iou,precision,recall,vtc_dur,vad_dur,tp
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_5_5193,0.1,0.6,0.6207,0.9931,0.6233,27160.325,43273.504,26974.27
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_5_5605,0.1,0.6,0.3908,0.9891,0.3925,22747.315,57318.544,22498.253
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_6_6483,0.1,0.6,0.3906,0.9978,0.3909,18217.875,46498.816,18177.779
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_6_6499,0.1,0.6,0.3014,0.9953,0.3018,12630.425,41647.776,12570.487
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_6_6586,0.1,0.6,0.3326,0.9869,0.3341,19336.085,57113.952,19082.453
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_7_7362,0.1,0.6,0.2213,0.9978,0.2214,12692.475,57194.176,12665.124
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_7_7377,0.1,0.6,0.307,0.9886,0.3081,17866.635,57330.72,17662.437
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_7_7549,0.1,0.6,0.2898,0.9941,0.2903,12238.245,41911.52,12165.523
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_7_7870,0.1,0.6,0.3515,0.9906,0.3527,20426.26,57378.56,20234.935
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_8_8020,0.1,0.6,0.4641,0.9922,0.4658,18780.71,40002.704,18633.624
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_8_8510,0.1,0.6,0.4222,0.994,0.4233,23566.58,55338.544,23424.382
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_8_8594,0.1,0.6,0.4064,0.9991,0.4065,15687.545,38557.088,15674.083
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_8_8655,0.1,0.6,0.3076,0.999,0.3077,17740.68,57603.44,17722.814
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_9_9039,0.1,0.6,0.3783,0.9918,0.3795,11806.25,30851.984,11709.15
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_9_9241,0.1,0.6,0.3306,0.9957,0.3311,19170.675,57648.624,19087.894
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_9_9998,0.1,0.6,0.4332,0.9911,0.4349,20256.1,46160.368,20075.468
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0109,0.1,0.7,0.235,0.9947,0.2353,9363.835,39582.752,9314.194
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0113,0.1,0.7,0.171,0.9977,0.1711,9834.575,57362.704,9811.905
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0414,0.1,0.7,0.2906,0.9875,0.2917,16835.89,56991.2,16625.511
